game_id,team_id,season,is_home,minutes,points,rebounds,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,plus_minus
0022400164,1610612740,2024-25,True,240,100,34,10,24,24,5,3,16,20,38,84,0.452,10,35,0.286,14,16,0.875,-18
0022400156,1610612747,2024-25,False,240,103,37,7,30,28,8,1,13,16,37,85,0.435,9,25,0.36,20,27,0.741,-12
0022400159,1610612748,2024-25,True,240,110,36,8,28,24,9,6,11,15,37,85,0.435,15,36,0.417,21,30,0.7,-1
0022400154,1610612749,2024-25,False,240,114,49,7,42,21,6,6,15,15,42,86,0.488,17,35,0.486,13,15,0.867,-2
0022400163,1610612753,2024-25,False,240,86,41,7,34,20,12,5,19,16,29,82,0.354,5,34,0.147,23,27,0.852,-16
0022400167,1610612755,2024-25,False,240,116,38,9,29,27,10,4,15,22,40,87,0.46,20,51,0.392,16,18,0.889,-2
0022400164,1610612757,2024-25,False,240,118,38,11,27,21,10,5,12,15,46,84,0.548,10,29,0.345,16,24,0.667,18
0022400168,1610612759,2024-25,False,240,104,45,12,33,22,9,10,14,16,38,86,0.442,11,41,0.268,17,19,0.895,-9
0022400163,1610612760,2024-25,True,240,102,42,5,37,23,12,4,17,21,39,85,0.459,12,31,0.387,12,16,0.75,16
0022400157,1610612737,2024-25,True,240,93,43,8,35,23,9,3,20,13,37,89,0.416,6,31,0.194,13,16,0.813,-30
0022400154,1610612739,2024-25,True,240,116,39,5,34,28,10,4,10,15,46,91,0.505,17,37,0.459,7,13,0.538,2
0022400160,1610612741,2024-25,True,240,126,36,10,26,36,7,7,9,23,45,95,0.474,14,37,0.378,22,25,0.88,-9
0022400166,1610612743,2024-25,True,240,121,44,14,30,29,9,10,17,21,41,83,0.494,10,31,0.323,29,38,0.763,2
0022400155,1610612744,2024-25,False,240,125,56,16,40,29,5,7,7,20,44,97,0.454,12,37,0.324,25,34,0.735,13
0022400161,1610612745,2024-25,True,240,109,50,11,39,21,4,6,11,20,43,88,0.489,8,33,0.242,15,18,0.833,12
0022400168,1610612746,2024-25,True,240,113,44,16,28,25,6,7,11,21,41,90,0.456,19,37,0.514,12,17,0.706,9
0022400162,1610612750,2024-25,True,240,114,45,9,36,23,7,8,15,19,39,79,0.494,18,38,0.474,18,26,0.692,21
0022400158,1610612751,2024-25,True,240,106,37,12,25,28,7,1,14,22,40,84,0.476,13,36,0.361,13,18,0.722,2
0022400161,1610612752,2024-25,False,240,97,39,13,26,20,6,4,10,18,34,88,0.386,11,28,0.393,18,21,0.857,-12
0022400165,1610612754,2024-25,False,240,134,46,7,39,30,5,3,10,16,54,95,0.568,13,32,0.406,13,20,0.65,7
0022400167,1610612756,2024-25,True,240,118,43,9,34,24,6,4,14,16,42,82,0.512,11,32,0.344,23,26,0.885,2
0022400159,1610612758,2024-25,False,240,111,39,11,28,23,5,4,14,28,44,86,0.512,10,27,0.37,13,15,0.867,1
0022400166,1610612761,2024-25,False,240,119,41,14,27,38,12,3,14,27,47,103,0.456,13,39,0.333,12,18,0.667,-2
0022400160,1610612762,2024-25,False,240,135,49,12,37,35,3,6,13,18,48,89,0.539,16,36,0.444,23,30,0.767,9
0022400158,1610612763,2024-25,False,240,104,44,13,31,29,5,8,15,16,43,91,0.473,8,30,0.267,10,13,0.769,-2
0022400156,1610612765,2024-25,True,240,115,55,17,38,22,6,5,12,25,45,96,0.469,8,34,0.235,17,22,0.773,12
